id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Starlit Sonatina,Aria Bloom,classical,nostalgic,0.24,66,0.45,0.28,0.96
12,Concrete Rhythm,North Borough,hip hop,confident,0.79,94,0.72,0.83,0.12
13,Dusty Highway,Cedar Line,country,melancholic,0.51,104,0.38,0.57,0.63
14,Iron Pulse,Forge Anthem,metal,aggressive,0.95,176,0.31,0.54,0.03
15,Velvet Morning,Sola Ray,r&b,romantic,0.58,88,0.69,0.74,0.47
16,Neon Festival,Prism Tide,edm,euphoric,0.92,128,0.86,0.91,0.08
17,Pine Trail Lullaby,Willow Cart,folk,reflective,0.33,76,0.52,0.46,0.88
18,Midday Samba,Luna Mar,latin,playful,0.84,112,0.79,0.87,0.21
